class,Source,Truth
中文学习者,我们西弗吉尼亚人就能谈起北京，台北，香港，澳门，和成都。,我们西弗吉尼亚人就只知道北京、台北、香港、澳门和成都。
中文学习者,"明天我要具体地制定这个学期的学习计划，背单字，学习生化学，吃跟学姐雪花冰，约定跟Ading,",明天我要具体地制定这个学期的学习计划、背单词、学习生物化学、跟学姐吃雪花冰、跟Ading约会、
中文学习者,"据传说,不久前,十个轮流太阳旅行穿过天空。",据传说，很久以前，十个太阳轮流飞行穿过天空。
中文学习者,不过帝俊心烦意乱了，从天上驱逐后羿。,不过帝俊心烦意乱了，将后羿驱逐下凡。
中文学习者,新年到的时候，我开始学信汉语语法，词，和字。,新年到来的时候，我开始学习汉语的语法、词和字。
中文学习者,因为我的中文没有好，我还要努力学汉语。,因为我的中文不好，我还要努力学汉语。
中文学习者,我这样学习的过程中当然有时觉得我有进步，不过在外边走路的时候听着小孩子汉语说得那么流利，我却怀疑我的汉语水平。,我这样学习的过程中有时觉得我当然有进步，不过在外边走路的时候听到小孩子汉语说得那么流利，我却怀疑我的汉语水平了。
中文学习者,我们说外语时经常遇到的感情就是“害怕说错，害怕发音不准”什么的，怕被别人看不起的感情。,我们说外语时经常会有的感受就是“害怕说错，害怕发音不准”之类的，怕被别人看不起的感受。
中文学习者,感谢你让我高中最后一年愉快极了。,感谢你让我高中最后一年愉快极了。
中文学习者,而走在回家，开始下雨！,而且我们回家的路上开始下雨了！
中文学习者,我看窗户，路看起来不通。,我看了眼窗户外面，看起来路不通了。
中文学习者,因为塞车了，这靶台消防车（跟一台救护车）需要开了两三分钟才他们都通过的。,因为塞车了，这辆消防车（跟一辆救护车）需要开两三分钟后他们才能全部通过。
中文学习者,他走到我前面，可是他不看得到我。,她走到我前面，可是她看不到我。
中文学习者,一晃而过时间过得真快，快乐充满意义的一天停滞在2008.3.15，那充满着韧劲，男人味十足的杨，牢牢得给我留下深深的印记。,一晃而过时间过得真快，快乐充满意义的一天停滞在2008.3.15，那充满着韧劲，男人味十足的杨，给我留下了深深的印象。
中文学习者,因为我很忙写毕业论文。,因为我忙着写毕业论文。
中文学习者,我要看看很多真正的中国。,我要多看看真正的中国。
中文学习者,他们三次说了，然后辩解(explain?),他们说了三次，然后解释
中文学习者,这夏天放假，我计划学习中文，所以回大学时候，我的中文越来越好！,这个夏天放假，我计划学习中文，所以回大学时，我的中文就会越来越好！
中文学习者,我的朋友在去看我的家呢(isvisitingme?),我的朋友去我家看望我。
中文学习者,我问中文的老师如果她知道了中国他们能帮助我学习中文。,我问教中文的老师是否认识能帮助我学习中文的中国人。
中文学习者,啊呀，我不想睡觉，很晚。,啊呀，我不想睡觉，但是很晚了。
中文学习者,特别是在公开的场面，日本人不表达自己的意见、自己的心中。,特别是在公开的场面，日本人不表达自己的意见，只是藏在自己的心中。
中文学习者,这次不是书而电影，我赶紧下载后又看了。,这次不是书而是电影，我赶紧下载后又看了。
中文学习者,因前几天发生了地震而很多地方为了他们帮助的莫捐箱子。,因前几天发生了地震，因而很多地方为了帮助他们设立了募捐箱子。
中文学习者,"哈哈，我的中文的translation太不好，但是我的老师说，“It'sokay,it's","哈哈，我﻿的1﻿中文的﻿translation翻译2﻿太不好，但是我的老师说﻿，：3﻿“It'sokay,it's"
中文学习者,周六我的男朋友的展览会。,周六有我男朋友的展览会。
中文学习者,一个天坐了火车和公交车。,一天坐了火车和公交车。
中文学习者,除了我一外，别的人没有学日文。,除了我以外，别的人没有学过日文。
中文学习者,但我们来自农村的孩子有多少钱，可以供我们花销，我们都是想找一份现在能胜任的工作，不管是在店里刷碗也可以，但我都没找到，真的很郁闷。,但我们来自农村的孩子有多少钱可以供我们花销，我们都想找一份现在能胜任的工作，在店里刷碗也可以，但这我都没找到，真的很郁闷。
中文学习者,国中时我跳拿著灯笼或手绢的民俗舞。,我国中时跳过拿着灯笼或手绢的民俗舞。
中文学习者,我看到全部的文章写注音的报纸，这是对我好用的。,我看到全部的文章都写注音的报纸，这对我是好用的。
中文学习者,大会开始以前，我们又吃，又喝，又聊天儿，过得真愉快的时间。,大会开始以前，我们又吃，又喝，又聊天儿，过着真愉快的时间。
中文学习者,那部电影表演的田中千絵小姐是我的学生，以前教过她」,那部电影的表演者田中千絵小姐是我的学生，我以前教过她。”
中文学习者,我等了几天后用我这里的日记写什么。,我等了几天后在我这里的日记写什么。
中文学习者,我看许多李小龙的武打片后他给我留下了很深的印象。,我看过许多李小龙的武打片后他给我留下了很深的印象。
中文学习者,朋友说「鸡」这个字，用台语的话意思不一様。,朋友说“鸡”这个字，用台语说的话意思不一様。
中文学习者,医生把六根很大钢钉放进我的骨头中.,医生把六根很大的钢钉放进我的骨头中。
中文学习者,"全身好痛,大概一个星期都动不了...","全身好痛,大概一个星期都动不了。"
中文学习者,"虽然这是很旧的节目,但是我觉得这个节目又有意思又很红.","虽然这是很旧的电视剧,但是我觉得这部电视剧很有意思又很红。"
中文学习者,决定了是因为我住在美国的中部分（所以说汉语的不多啦）。,因为我住在美国的中部（所以汉语说的不多啦）。
中文学习者,当时他愿介绍他家人给我了。,当时他介绍他家人给我。
中文学习者,另外，他的家人都想知道我的名字是什么但好像为了他们，发音我的美国名字很麻烦的。,他的家人都想知道我的名字是什么。但好像他们发音我的美国名字很麻烦。的。
中文学习者,当时我的朋友说了‘’我们应该找你个比较简单的名字，因为你的美国名字听起来像老鼠，我们就叫你老鼠‘’我没有问题接受这样的名字。,当时我的朋友说“我们应该给你找个比较简单的名字，因为你的美国名字听起来像老鼠，我们就叫你老鼠”我没有意见，接受了这个名字。
中文学习者,我的专业就是中文但除了中文以外我也学许多的语言。,我的专业就是中文。但除了中文以外，我也学许多其他的语言。
中文学习者,今晚我做完了我两门在线的课！,今晚我学完了两门在线的课程！
中文学习者,我在中国时有不少次有人问我关于北京的奥运有什么看法，更正确的说，我们外国人有什么看法（有几次还有人记录我说话！）,在中国时，有不少次有人问我关于北京的奥运有什么看法，更准确的说，我们外国人有什么看法（有几次还有人记录我说的话！）
中文学习者,最开始，我对这样的问题有点儿不习惯，不知道应该说什么，但以后我就习惯了，我觉得跟打个招呼有很多相同的地方；其实对方并不想知道你对某些话题的一切，你就说一“中国加油”，或者“我祝北京奥运会成功”等类似的口号就好了。,最开始，我对这样的问题有点儿不习惯，不知道应该说什么，但后来我就习惯了，我觉得跟打招呼有很多相同的地方；其实对方并不想知道你对某些话题的一切，你就说“中国加油”，或者“祝北京奥运会成功举办”等类似的口号就好了。
中文学习者,"女性的幸福是做家庭主妇,还有想工作也没有条件和环境。","女性的幸福是做家庭主妇,即使想工作也没有条件和环境。"
中文学习者,但有一个问题我男朋友太会吃醋既夸张又占有欲强的。,但有一个问题就是：我男朋友太容易吃醋，既夸张又占有欲很强。
中文学习者,对我来说，我还是年轻人还又时间可以好好出去比如去酒吧，club，跟朋友出去完。,对我来说，我还是年轻人还有时间可以好好出去比如去酒吧，俱乐部，跟朋友出去玩。
中文学习者,花儿为树招徕人们的眼光。,花儿为树招徕人们的目光。
中文学习者,在热的夏天里，它的声音会带来更加的烦热。,在炎热的夏天里，它的声音会让人更加得烦热。
中文学习者,我知道了极好的歌，唱季娜现在出家释昌圣这个名，,我知道了极好听的歌，唱季娜现在出家释昌圣这个名，
中文学习者,在中国有名歌手现在进入了佛门持续唱。,在中国有名的歌手现在进入了佛门继续唱。
中文学习者,"天气也晴,好舒服～^^","天气也晴朗,很舒服。"
中文学习者,着模型是跟普通的模型不一样，非常巨大，好像在卡通里的这正的高达。,这个模型是跟普通的模型不一样，非常巨大，很像卡通里的真正的高达。
中文学习者,她找找记忆来开始写，写一行就问我“19日我干嘛呀？”,她凭着记忆开始写，写一行就问我“19日我干嘛了呀？”
中文学习者,在这个食用油的瓶子上写“对身体有好处”、“不太摄取脂肪”等的句子，而且花王公司是很大的化学公司，因此我妈妈对它们的相信度是非常高的。,在这个牌子的食用油瓶子上写了“对身体有好处”、“不摄取额外脂肪”等的句子，而且花王公司是大型的化学公司，因此我妈妈对它的信任度非常高。
中文学习者,"当然现在这是笑话,土楼是客家人的住房还有很好的观光地方。",当然现在这听起来是个笑话。土楼是客家人的住房，还是很好的观光地方。
中文学习者,"他门,哪儿修盖是相似城寨很大圆形或者四方形的三楼的住宅。","他们,在那儿修建了类似城寨的、圆形的或者四方形的三层住宅。"
中文学习者,所以孩子们轻轻松松地浏览，然后或者参加游戏，或者买食品而吃，或者看舞台上的发表，都可以。,所以孩子们轻轻松松地参观，或者参加游戏，或者买零食吃，或者看舞台上的表演，都可以。
中文学习者,我的亲朋好友常常告诉我他们在工作有很多的好玩儿的经验。,我的亲朋好友常常告诉我他们工作中很多好玩儿的事情。
中文学习者,这几天没学习得多少，大多时间都睡觉或吃盒去玩儿。,这几天没学习多少，大多时间都在睡觉或吃喝去玩儿了。
中文学习者,我开始中文课的时候，我曾经认为中国歌没什么意思的东西。,我开始上中文课的时候，我曾经认为中文歌是没什么意思的东西。
中文学习者,我希望我有一天听懂我听的中国歌。,我希望有一天我能听懂中文歌。
中文学习者,我刚想回家，正好老师让我留在教室。,我刚想回家，老师让我在教室留一下。
中文学习者,"他说""到下星期二的上级班以前你要做作业，""",他说：“到下星期二的上级班以前你要做好作业。”
中文学习者,结果有天回家经过书店熊熊发现又贴了找工作伙伴的海报,结果有天回家经过书店时，发现又贴了招聘员工的海报。
中文学习者,不得不说面对一整片喔不是是六片的书墙,不得不说面对一整片，喔不对，是六面的书墙。
中文学习者,但是拖地喔买尬超麻烦的耶不是只要拖,但是拖地很麻烦，不只是要拖。
中文学习者,我也看地清楚，就知道它是人！,我也看清楚了，就知道它是人！
中文学习者,不满20岁是香烟禁止。,不满20岁买香烟是被禁止的。
中文学习者,在我国家，Halloween只是以获利为目的的季节。,在我们国家，Halloween只是以获利为目的的节日。
中文学习者,除了这些，Halloween在我国家来说，没有什么意思。,除了这些，Halloween在我看来，没有什么意思。
中文学习者,在这两天，我们纪念我们去世的情爱的。,在这两天，我们纪念了我们去世的爱情。
中文学习者,就像李白他是酒杯的饮中八仙。,就像李白一样，他也是酒中八仙之一。
中文学习者,如果你没有这个了解的话，很多中国文化和语言对你废话。,如果你不了解的话，很多中国文化和中国话对你来说就是废话。
中文学习者,我想以前是中国电影深受感动现在对中国电影渐薄感动，,我以前就对中国电影深受感动，现在对中国电影越来越感动了。
中文学习者,第一次的感动王宝强是演技，表演高超的技艺最有意思无上有趣。,最初感动我的是王宝强的演技，高超的表演技艺最有意思了。
中文学习者,上星期等了又等这个协会的终干开始。,从上星期等了又等，这个宴会终干开始。了
中文学习者,但是我家就不在米兰*（每天都坐地铁倒大学去）。,我家不在米兰（我每天都坐地铁到大学去）。
中文学习者,我，我妈妈，她的男，妹妹有。,我，我妈妈，她的男朋友，妹妹。
中文学习者,因为中国有很多的文化所以可以学习个方便的知识.,因为中国有很悠久的文化，所以可以学习他们的优点。
中文学习者,他帮我的忙学汉语，可是她不知道我跟不聪明。,他帮我学汉语，可是他不知道我很不聪明。
中文学习者,并且听在中国的儿子生活样子的活是惊恐连续,并且听了在中国生活的儿子的话我是惊恐连连。
中文学习者,有文化背景我觉得这十来年中国社会的变化还是相当大的，,我觉得这十来年中国社会的变化还是相当大的，
中文学习者,现在她在日本和中国和台湾常常表演音乐。,现在她常常在日本和中国及中国台湾表演音乐。
中文学习者,这件事因为他们在外国参加很多的活动交了朋友，,因为这件事他们在外国参加了很多的活动，交了很多朋友，
中文学习者,我的妻子看电视，逛街，散步，是比较普通的兴趣。,我的妻子喜欢看电视、逛街、散步，这些是比较普通的兴趣。
中文学习者,儿子是活泼的人喜欢旅游，跑步，游泳，但是现在工作忙没有时间，所以很累不想干。,儿子是活泼的人，喜欢旅游、跑步、游泳，但是现在工作忙没有时间，所以很累不想干这些。
中文学习者,并且今年室兰开港口110年市的制度90年因为纪念事业很多，志愿活动可是,并且今年是室兰开港口110周年和城市制度建立90周年。纪念活动很多，可是志愿活动
中文学习者,在拍照地方，横滨中华街,我拍照的地方在横滨中华街。
中文学习者,我正在工作也满身大汗.,我工作时满身大汗，
中文学习者,有时后老板让我们一边做什么任务一边做其他的任务。,有时候，老板让我们一边做一个任务一边做其他的任务。
中文学习者,要是我们不会快做完了，他们很生气。,要是我们不会很快做完，他们会很生气。
中文学习者,但是我不想离开我的工作，因为我得付房租，有工作在继续写上，省钱路行去中国，什么的。,但是我不想离开我的工作，因为我得付房租，有工作再继续写上，省钱去中国什么的。
中文学习者,现在太冷、但在半夜中新年初拜的人不少。,现在太冷，但在半夜新年初拜的人不少。
中文学习者,我从以前想去看这层建筑。,我在以前就想去看这层建筑。
中文学习者,也许写完后可以睡觉：),也许写完后可以睡着。
中文学习者,"还有每天我去过大学课七月二十七号到八月二十一号,和坐八个小时.","还有我从七月二十七号到八月二十一号去上大学课,每天坐八个小时。"
中文学习者,所以买手机卡就可以使用手机通信,所以买手机卡就可以使用手机通信。
中文学习者,被写她4月底会来台湾那个信.,写到她4月底会来台湾。
中文学习者,我听说5月22号开业日子的票，报名者335倍。,我听说5月22号开业的票，报名者是票的335倍。
中文学习者,我们在先去的地方“鼻高展望花的小山”观光时间变短呀！,我们先去的地方“鼻高展望花的小山”观光时间变短了呀！
中文学习者,我手一抖，把茶杯掉了电子词典上・・・当然电子词典被淋坏了。,我手一抖，把茶杯掉了电子词典上，当然电子词典被淋坏了。
中文学习者,所以他们有很多想买什幺东西，可能买一部分，不是全部买的。,所以他们有很多想买的东西，可能买一部分，不是全都买。
中文学习者,那时候我把汉语句子什幺也不知道。,那时候我对汉语句子什么也不知道。
中文学习者,”的朋友的日记上看到了一遍“xxx”的消息。,”的朋友的日记上看到了一次“xxx”的消息。
中文学习者,从家具到衣服，把不需要特殊设备的东西自己做的是便宜的。,从家具到衣服，自己做不需要特殊设备的东西是便宜的。
中文学习者,话说如此，但是我没有想到在这里会有这幺多同性恋的，所以还是有一种莫名奇妙的感觉。,话说如此，但是我没有想到在这里会有这么多同性恋的，所以还是有一种莫名其妙的感觉。
中文学习者,为了只用一刹那间我放在吃的东西一次性容器，吃后就变成垃圾。,那些一次性容器只有在我吃东西的时候会用，用完就变成了垃圾。
中文学习者,我觉得他们在那里吃的话，不要塑料袋！,我觉得他们在那里吃的话，可以不要塑料袋！
中文学习者,我使用书的时候（读、学习等等），用小心维持漂亮的状态，要是我早晚不需要的时候，我让给需要那本书的人我的书，把那本书再活用。,我使用书阅读、学习的时候，会小心保持它崭新的状态，如果我不需要这本书的时候，我会让给需要那本书的人用我的书，这样，这本书会被更广泛的使用。
中文学习者,因为那些漫画喜欢的人是大概成人。,因为喜欢那些漫画的人是大多是成人。
中文学习者,啊，我学习的时候很想要这样的集中力・・（－－；）为什幺学习的时候集中力就变得涣散呢？,我在学习的时候也很想要这样集中的注意力，我常常问自己：为什幺我学习的时候注意力就不能集中了呢？
中文学习者,我的话，如果我发现得感冒的人，我没呼吸，而且我一直,对于我而言，如果我身边有得感冒的人，我就会屏住呼吸，直到我
中文学习者,呢个有问题的网页很少被阅览所以很难发现。,这个有问题的网页很少被阅览，所以很难被发现。
中文学习者,就能获得新的智能，产生出新的世界。,这样才能获得新的出路，拥有一片新的世界。
中文学习者,我做事比较用功嘛，不愿意做出平庸的效果，总怕给朋友和父母玩时他们会笑我呀，所以要加大努力。,我做事比较用功嘛，不愿意做出平庸的效果，总怕把游戏给朋友和父母玩时他们会笑话我，所以我要加倍努力。
中文学习者,我平时不太喜欢说我自己可是我至少要自介绍一下。,我平时不太喜欢说我自己，但是我至少要自我介绍一下。
中文学习者,我还可以听的懂，也看得懂，就是说话很痛苦···,我还可以听的懂日文，也看得懂日文，就是交流起来很困难。
中文学习者,以前听的懂的还不错，又跟日文一样的也是都忘了。,以前还能听的懂一些，现在也跟日文一样都忘了。
中文学习者,要是这个地方是天堂，就我觉得死去不怕！,要是这个地方是天堂，我愿意永远呆在这里！
中文学习者,所以我希望你们要可以明白我要睡觉了。,所以我希望你们可以理解现在我要睡觉了。
中文学习者,他们什幺时候我不懂帮助我。,什幺时候我不懂了他们都帮助我。
中文学习者,可是今天当到小丸子店的时候，发现店铺竟然还没有开门！,可是当今天到小丸子店的时候，发现店铺竟然还没有开门！
中文学习者,本来开门时间是十点，但是我十一点差一刻的时候还没营业。,本来开门时间是十点，但是在十一点差一刻的时候还没营业。
中文学习者,不过・・・回日本后冲洗了胶卷没有那张照片！,不过，回日本后冲洗胶卷却没有那张照片！
中文学习者,小学生的时侯，我学习汉文。,小学的时侯，我学习汉文。
中文学习者,最后在家是全家的生活范围越来越小了，只在电暖桌的周围。,最后全家的生活范围越来越小了，只是在电暖桌的周围。
中文学习者,现在我尝试写都于汉语，不过是生涩。,现在我尝试用汉语写日记，不过还是写得很生涩。
中文学习者,而且福袋里有花钱的两三倍的金额的商品。,而且福袋里有花两三倍的金额的商品。
中文学习者,完全德中公司工作的得会中文和德文。,想去中德公司工作得会中文和德文。
中文学习者,她的朋友完全想和她玩儿。,她的朋友和她去玩儿了。
中文学习者,因为我在工作中，我不知道发生那样的状况。,因为我在工作，所以我不知道发生怎样的状况。
中文学习者,下午阳光从云彩中透射出来时候、我有了今天从现在开始一定不下雨的信心。,下午阳光从云彩中透出来的时候、我觉得今天从此刻开始一定不会下雨。
中文学习者,明天我需要再一篇洗衣服耶。,明天我需要再洗一遍衣服。
中文学习者,北京外国语大学是最好的大学之一，比北京语言大学有特点：在北外没有那幺多外国人，学校的情况比较轻松，可是北外的老师很严肃。,北京外国语大学是中国最好的大学之一，比北京语言大学有特色。在北外没有那么多外国人，学校的氛围比较轻松，可是北外的老师很严肃。
中文学习者,但是近年都市附近没有可能看到日出，而且在除夕到深夜，有的人喝酒，有的人看电视，或者有的人聊天儿，所以很多人不可能早起。,但是近年都市附近不能看到日出，而且在除夕深夜，有的人喝酒，有的人看电视，或者有的人聊天儿，所以很多人不会早起。
中文学习者,不过，因此他们觉得分配食物是当然义务。,不过，因此他们觉得分配食物给他人是他们的义务。
中文学习者,因为太闷了，我带下来我的笔记本去上网，聊聊天。,因为太闷了，所以我带下来我的笔记本去上网，聊聊天。
中文学习者,"因为,她想要我的时间很多,我也想要她的时间很多.","因为,她想念我的时间很多,我也想念她的时间很多。"
中文学习者,当然初次听的时我完全不会理解。,当然第一次听的时候我完全不理解。
中文学习者,那是我开始了这里打工以前的话。,那是我开始在这里打工以前的事情了。
中文学习者,我今天要又电话求他们来修理。,我今天又要电话让他们来修理。
中文学习者,昨晚我出席住在我村子的老太婆的灵前守夜仪式。,昨晚我出席了住在我村子的一位老太婆的灵前守夜仪式。
中文学习者,在会场门前放着一张好像是在她100岁的时候从前首相小泉送给她的奖状。,在会场门前放着一张好像是在她100岁的时候首相小泉送给她的奖状。
中文学习者,昨天偶尔在电视节目里我看到明星清水国明（58）。,昨天我偶然在电视节目里看到了明星清水国明（58岁）。
中文学习者,换言语的话，不管用日语还是英语一样的。,换语言的话，不管用日语还是英语都是一样的。
中文学习者,从今年一月夏目友人帐的新季开始了。,《夏目友人帐》的最新季从今年一月开始播出了。
中文学习者,他推荐了一家台湾菜餐厅说龙都酒楼、在我的宾馆附近。,他向我推荐了一家台湾菜餐厅叫“龙都酒楼”，在我的宾馆附近。
中文学习者,提高爱情后他会变化对你的态度而表现也丰富起来。,爱情提高后他会改变对你的态度，而且表现也丰富起来。
中文学习者,她先吃惊，然后来我的近旁看我。,她先是很吃惊，然后来到我旁边看我。
中文学习者,从窗口看到的风景不是蓝色的地球而并不是暗黑的空，那是全面橙色。,从窗口看到的风景不是蓝色的地球也不是暗黑的天空，那是一片橙色。
中文学习者,在登记册有很长排起了队、非常可怕等了。,在收银台有很长的队，等了很久。
中文学习者,在超级市场为什幺没有ETC门？,在超市为什么没有ETC通道？
中文学习者,所以我总是就死心说她。,所以我就总是说她。
中文学习者,我已经贫穷不过现在实在贫穷.,我本来就贫穷，现在更贫穷了。
中文学习者,听起来很奇怪，实际吃时，好棒的味道。,听起来很奇怪，实际上吃起来是好棒的味道。
中文学习者,除了亚洲式的菜，也有非洲式，美国南方式，墨西哥式，什幺的。,除了亚洲式的菜，也有非洲式、美国南方式、墨西哥式什么的。
中文学习者,上班的时候，我看了一个燕子。,上班的时候，我看见了一只燕子。
中文学习者,我们坐导游说汉语的上午半日游的,我们坐了导游说汉语的上午半日游。巴士
中文学习者,我回答'没有没有，只喜欢搬家。',我回答：“没有没有，只是喜欢搬家而已。”
中文学习者,明天隔了好久上中文课，不安。,隔了好久明天要上中文课，我有点不安。
中文学习者,我的父亲母亲和十面埋伏有一样的演员：章子怡。,《我的父亲母亲》和《十面埋伏》有同一个演员：章子怡。
中文学习者,在十面埋伏她叫小妹，美和妹一样发音，嘻嘻（我听见'mei'所以我想是美国的美）。,在﻿《1﻿十面埋伏﻿》2﻿﻿里3﻿她﻿叫4﻿﻿饰演5﻿小妹，美和妹﻿一样6﻿发音﻿一样6﻿，嘻嘻（我听见'mei'所以我﻿想以为7﻿是美国的美）。
中文学习者,所以他说很多的语言：汉语，日语，粤语，闽南语，也说英语。,所以他会说很多语言：汉语，日语，粤语，闽南语，也会说英语。
中文学习者,我知道这个惯用语：倾国倾城，有一样的意思？,我知道这个惯用语：倾国倾城，这两者是一样的意思吗？
中文学习者,我也想听见一个故事，也一样的意思。,我也听过另一个故事，也是一样的意思。
中文学习者,刚才的考试是马马虎虎，可以说有些大案有点复杂，可是我希望能通过这个考试。,刚才的考试马马虎虎，有些大题有点复杂，可是我希望能通过这个考试。
中文学习者,在海啸灾区，房子，田，商店，人，车等，什幺都被海啸涤荡了。,在海啸灾区，房子、田、商店、人、车等都被海啸涤荡了。
中文学习者,在岩手很多的志愿者已经活动。,岩手很多志愿者已经开始行动了。
中文学习者,我很感动了很多人的活动。,有这么多人参加活动我很感动。
中文学习者,今年纪念开始高达的动画片30周年，在东京的台场被创作等身大高达！,今年是纪念上映高达动画片的30周年，在东京的台场将创作等身大高达！
中文学习者,我回来了工作的时候，电视和镜子落下坏了。,我回来工作的时候，电视和镜子摔坏了。
中文学习者,她滔滔不绝的说什幺，所以我听不懂。,她滔滔不绝的说什幺我也听不懂。
中文学习者,所以我听不懂老师说的全部。,所以我听不懂老师说的全部。
中文学习者,我喜欢吃的东西很多，我不能决定一个食物。,我喜欢吃的东西很多，所以我不能决定一个食物。
中文学习者,的部分，但是我想看续集的戏据！,的部分，但是我想看续集的部分！
中文学习者,其中最好唱歌，所以大学的时候，我活动了乐队。,其中最喜欢唱歌，所以大学的时候，我参加了乐队。
中文学习者,我没有想到日本人也把Halloween庆祝。,我没有想到日本人庆祝Halloween。
中文学习者,不管我们有很多机会接触“拟声词”，没有一天没见闻！,尽管我们有很多机会接触“拟声词”，没有一天没见闻！
中文学习者,你的儿子秉性温顺的孩子通情达理的人，他是我所见到的最诚实的朋友了。,你的儿子是秉性温顺的孩子，通情达理，他是我所见到的最诚实的朋友了。
中文学习者,他给我打电话的时，总是突然！,他给我打电话的时候，总是很突然！
中文学习者,我的话，带消磨时间东西，小说书。,我的话，带消磨时间的东西小说书。
中文学习者,入场券很贵了，所以我想慢慢地看，但是我爸爸的意思只是阿绣罗！,入场券很贵，所以我想慢慢地看，但是我爸爸的意思只是阿绣罗！
中文学习者,那些天是在我生命中的最安静的天。,那些天是在我生命中的最安静的日子。
中文学习者,享受饭的时候，跟一些醋尝。,享受饭的时候，加一些醋尝尝。
中文学习者,日本的动画片在各国之的电视上播出，我觉得已经有各国的配音，只收录。,日本的动画片在各国的电视上播出，我觉得日本的动画片已经有各国的配音版本了，但都是只收录。”
中文学习者,作那国的语言的配音或者字幕。,会做那个国家的语言的配音或者字幕。
中文学习者,这个地方通常用堤防被防卫，所以不会淹没。,这个地方通常用堤防来防卫，所以不会被淹没。
中文学习者,客人和女佣人胜负石头剪子布，你胜利的话，你自己选混合果汁的材料。,客人和女佣人玩石头剪子布，你胜利的话，你自己选混合果汁的材料。
中文学习者,原本牵牛花市去的是在早上。,原本牵牛花市是在早上去的。
中文学习者,你们的国家的情人节是怎么样呢？,你们的国家的情人节是什么样呢？
中文学习者,然后，在日本固定了“情人节”是“巧克力”。,然后，在日本也就固定了“情人节”要送“巧克力”。
中文学习者,特别中文配音的日本动漫是超方便。,特别是中文配音的日本动漫，超方便。
中文学习者,稍微注意一点就是浪费很多时间。,稍微要注意一点就是它需要花费很多时间。
中文学习者,我一想起一个目的就得到那个目的。,我想到一个目标就得完成那个目标。
中文学习者,2)我们就学了很多中文的子，我们就会看一些中文的报纸。,我们学了很多汉字后，我们就会看一些中文的报纸。
中文学习者,3)早些时候李先生一家每年去法国休息。,早些时候李先生一家每年都去法国度假。
