,class,Source,Truth,classification according Truth (char),classification according Truth (word),classification according BART (char),classification according BART (word)
12,动词、宾语搭配不当,警方表示有信心扫除软性毒品的祸害和影响。,警方表示有信心扫除软性毒品。,"[('-', [('的', 'u'), ('祸害', 'n'), ('和', 'c'), ('影响', 'vn')])]","[('-', [('的', 'u')])]","[([('祸', 'n')], '->', [('危', 'n')])]","[([('祸害', 'n')], '->', [('危害', 'vn')])]"
13,动词、宾语搭配不当,学写诗歌，要注意提炼诗的语言和题材。,学写诗歌，要注意提炼诗的语言和选择题材。,"[('+', [('选择', 'v')])]","[('+', [('选择', 'v')])]",,
14,动词、宾语搭配不当,千言万语都表达不了我们对老师的感激的情绪。,千言万语都表达不了我们对老师的感激。,"[('-', [('的', 'u'), ('情绪', 'n')])]","[('-', [('的', 'u')])]","[([('的', 'u')], '->', [('之', 'r')]), ('-', [('绪', 'n')])]","[([('的', 'u')], '->', [('之', 'u'), ('情', 'n')]), ('-', [('情绪', 'n')])]"
15,主语残缺,经过这次讲课，对大家的启发很大。,这次讲课，对大家的启发很大。,"[('-', [('经过', 'p')])]","[('-', [('经过', 'p')])]",,
16,主语残缺,在通讯事业迅速发展的情况下，可以得到的资讯越来越多。,在通讯事业迅速发展的情况下，我们可以得到的资讯越来越多。,"[('+', [('我们', 'r')])]","[('+', [('我们', 'r')])]",,
17,宾语残缺,世界红十字会是致力拯救第三世界国家贫困儿童。,世界红十字会致力拯救第三世界国家贫困儿童。,"[('-', [('是', 'v')])]","[('-', [('是', 'v')])]","[('-', [('是', 'v')]), ('+', [('于', 'p')])]","[('-', [('是', 'v')]), ('+', [('致力于', 'v')])]"
18,谓语残缺,为了达到目的，不惜任何手段。,为了达到目的，不惜采取任何手段。,"[('+', [('采取', 'v')])]","[('+', [('采取', 'v'), ('任何', 'r')])]",,
19,谓语残缺,地铁载客量高，而且比其他交通工具更准时抵达目的地的优点。,地铁载客量高，而且比其他交通工具更准时抵达目的地。,"[('-', [('的', 'u'), ('优点', 'n')])]","[('-', [('的', 'u')])]","[('+', [('有', 'v')])]","[('+', [('有', 'v')])]"
20,状语残缺,在我遇到困难，他总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。,"[('+', [('时', 'n')])]","[('+', [('时', 'n')])]","[('+', [('时', 'n')])]","[('+', [('时', 'n')])]"
21,状语残缺,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，举行了学艺比赛。,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，分别举行了学艺比赛。,"[('+', [('分别', 'd')])]","[('+', [('分别', 'd')])]","[('+', [('了', 'xc')])]","[('+', [('了', 'xc')])]"
22,定语成分多余,我们走过笔直而又漫长的直路，来到目的地。,我们走过笔直而又漫长的路，来到目的地。,"[('-', [('直', 'd')])]","[('-', [('直路', 'v')])]",,
23,定语成分多余,中国语言和任何西方语言不同。,中国语言和西方语言不同。,"[('-', [('任何', 'r')])]","[('-', [('任何', 'r')])]","[('+', [('都', 'd')])]","[('+', [('都', 'd')])]"
24,状语成分多余,他忽然大声地高叫起来。,他忽然高叫起来。,"[('-', [('大声', 'n'), ('地', 'u')])]","[('-', [('大声', 'n')])]",,
25,状语成分多余,漫山遍野到处都是逃难的人。,漫山遍野都是逃难的人。,"[('-', [('到处', 'd')])]","[('-', [('到处', 'd')])]",,
26,语序不当,成熟的苹果落地，是由于它对地球引力的作用。,成熟的苹果落地，是由于地球引力对它的作用。,"[('-', [('它', 'r'), ('对', 'p')]), ('+', [('对', 'p'), ('它', 'r')])]","[('-', [('它', 'r')]), ('+', [('对', 'p')])]","[([('由于', 'p')], '->', [('因为', 'c')])]","[([('由于', 'p')], '->', [('是因为', 'v')])]"
27,语序不当,我们如果把这本书不认真读好，就谈不到读别的书了。,我们如果不把这本书认真读好，就谈不到读别的书了。,"[('+', [('不', 'd')]), ('-', [('不', 'd')])]","[('+', [('不', 'd')]), ('-', [('不', 'd')])]",,
28,语序不当,这个问题在群众中广泛引起了议论。,这个问题在群众中引起了广泛议论。,"[('-', [('广泛', 'a')]), ('+', [('广泛', 'a')])]","[('-', [('广泛', 'a')]), ('+', [('广泛', 'a')])]",,
29,语序不当,巴甫洛夫整天忙于做条件反射的实验，他总是把动物用绳子缚在实验室的架子上。,巴甫洛夫整天忙于做条件反射的实验，他总是用绳子把动物缚在实验室的架子上。,"[('+', [('用', 'p'), ('绳子', 'n')]), ('-', [('用', 'p'), ('绳子', 'n')])]","[('+', [('用', 'p')]), ('-', [('用', 'p')])]",,
30,语序不当,当时，许峰正在住院，听到有险情，带病走出医院，不顾医生的阻拦，投入到抗洪救灾工作中去。,当时，许峰正在住院，听到有险情，不顾医生的阻拦，带病走出医院，投入到抗洪救灾工作中去。,"[('-', [('带病', 'vd'), ('走出', 'v'), ('医院', 'n'), ('，', 'w')]), ('+', [('，', 'w'), ('带病', 'vd'), ('走出', 'v'), ('医院', 'n')])]","[('-', [('带病', 'v')]), ('+', [('，', 'w')])]",,
31,结构混乱,这办法既卫生，又方便，深受群众所喜爱。,这办法既卫生，又方便，深受群众喜爱。,"[('-', [('所', 'c')])]","[('-', [('所', 'c')])]",,
32,结构混乱,我们要下决心，花大力气，争取在本世纪把我国的教育事业达到先进水平。,我们要下决心，花大力气，争取在本世纪使我国的教育事业达到先进水平。,"[([('把', 'p')], '->', [('使', 'v')])]","[([('把', 'p')], '->', [('使', 'v')])]",,
33,结构混乱,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，供中外学者阅读之便。,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，以便中外学者阅读,"[([('供', 'v')], '->', [('以便', 'd')]), ('-', [('之', 'u'), ('便', 'n'), ('。', 'w')])]","[([('供', 'v')], '->', [('以便', 'd')]), ('-', [('之', 'r')])]","[([('礼', 'n')], '->', [('件', 'q')]), ('-', [('之', 'u'), ('便', 'n')])]","[([('信礼', 'n')], '->', [('信件', 'n')]), ('-', [('之', 'r')])]"
34,结构混乱,当然，要搞好跨学科渗透和综合，并非易事，需要下一番功夫不可。,当然，要搞好跨学科渗透和综合，并非易事，非下一番功夫不可。,"[([('需要', 'v')], '->', [('非', 'n')])]","[([('需要', 'v')], '->', [('非', 'n')])]","[('-', [('不可', 'v')])]","[('-', [('不可', 'v')])]"
35,结构混乱,这届全运会会徽、吉祥物设计的应征者大多是以青年师生为主。,这届全运会会徽、吉祥物设计的应征者以青年师生为主。,"[('-', [('大多', 'd'), ('是', 'v')])]","[('-', [('大多', 'd')])]",,
36,中文学习者,"住了在哈尔滨,黑龙江哈尔滨,太冷!","住在哈尔滨,黑龙江哈尔滨,太冷了!","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]"
37,中文学习者,他做梦的时候他是一个太空人了。,他做梦梦到他是一个太空人。,"[([('的', 'u'), ('时候', 'n')], '->', [('梦到', 'v')]), ('-', [('了', 'xc')])]","[([('的', 'u')], '->', [('梦到', 'v')]), ('-', [('了', 'xc')])]","[('-', [('了', 'xc')])]","[('-', [('了', 'xc')])]"
38,中文学习者,而走在回家，开始下雨！,而且我们回家的路上开始下雨了！,"[([('走', 'v'), ('在', 'p')], '->', [('且', 'c'), ('我们', 'r')]), ([('，', 'w')], '->', [('的', 'u'), ('路上', 's')]), ('+', [('了', 'xc')])]","[([('走', 'v')], '->', [('而且', 'c')]), ([('，', 'w')], '->', [('的', 'u')]), ('+', [('了', 'xc')])]","[('-', [('而', 'c')]), ('+', [('的', 'u'), ('路上', 's')])]","[('-', [('而', 'c')]), ('+', [('的', 'u')])]"
39,中文学习者,决定了是因为我住在美国的中部分（所以说汉语的不多啦）。,因为我住在美国的中部（所以汉语说的不多啦）。,"[('-', [('决定', 'v'), ('了', 'u'), ('是', 'v')]), ('-', [('分', 'v')]), ('-', [('说', 'v')]), ('+', [('说', 'v')])]","[('-', [('决定', 'v')]), ('-', [('部分', 'n')]), ('-', [('说', 'v')]), ('+', [('说', 'v')])]","[('-', [('分', 'v')])]","[('-', [('部分', 'n')])]"
40,中文学习者,她没教我这个星期一样。,她不能像这个星期一样教我。,"[([('没', 'v'), ('教', 'v'), ('我', 'r')], '->', [('不能', 'v'), ('像', 'v')]), ('+', [('教', 'v'), ('我', 'r')])]","[([('没', 'v'), ('教', 'n')], '->', [('不能', 'v')]), ('+', [('教', 'n')])]","[('-', [('没', 'v'), ('教', 'v'), ('我', 'r')]), ([('一样', 'a')], '->', [('没', 'v'), ('教', 'v'), ('我', 'r')])]","[('-', [('没', 'v'), ('教', 'n')]), ([('一样', 'a')], '->', [('没', 'v'), ('教', 'n')])]"
41,中文学习者,考虑这样的信息我不知道任何年轻人可以买房子。,看到这样的信息我不知道哪些年轻人可以买房子。,"[([('考虑', 'v')], '->', [('看到', 'v')]), ([('任何', 'r')], '->', [('哪些', 'r')])]","[([('考虑', 'v')], '->', [('看到', 'v')]), ([('任何', 'r')], '->', [('哪些', 'r')])]","[('+', [('到', 'v')]), ('+', [('都', 'd')])]","[('+', [('到', 'v')]), ('+', [('都', 'd')])]"
42,中文学习者,听说那是中国的《水浒传》影响很大。,听说那是受中国的《水浒传》影响很大。,"[('+', [('受', 'v')])]","[('+', [('受', 'v')])]","[([('那', 'r'), ('是', 'v')], '->', [('受', 'v')])]","[([('那', 'r')], '->', [('受', 'v')])]"
