,Unnamed: 0,class,Source,Truth,BART,ernie,macbert,gpt3.5,gpt4,effidit
27,27,语序不当,我们如果把这本书不认真读好，就谈不到读别的书了。,我们如果不把这本书认真读好，就谈不到读别的书了。,unchanged,unchanged,unchanged,如果我们不认真阅读这本书，就无法谈论其他书。,如果我们不能认真读好这本书，就谈不上读其他书了。,我们如果把这本书不认真读，就谈不到读别的书了。
28,28,语序不当,这个问题在群众中广泛引起了议论。,这个问题在群众中引起了广泛议论。,unchanged,unchanged,unchanged,这个问题在群众中广泛引起了讨论。,这个问题在群众中引起了广泛的议论。,unchanged
29,29,语序不当,巴甫洛夫整天忙于做条件反射的实验，他总是把动物用绳子缚在实验室的架子上。,巴甫洛夫整天忙于做条件反射的实验，他总是用绳子把动物缚在实验室的架子上。,unchanged,巴浦洛夫整天忙于做条件反射的实验，他总是把动物用绳子缚在实验室的架子上。,unchanged,巴甫洛夫整天忙于做条件反射的实验，他总是把动物用绳子绑在实验室的架子上。,巴甫洛夫整天忙于进行条件反射的实验，他总是把动物用绳子绑在实验室的架子上。,unchanged
30,30,语序不当,当时，许峰正在住院，听到有险情，带病走出医院，不顾医生的阻拦，投入到抗洪救灾工作中去。,当时，许峰正在住院，听到有险情，不顾医生的阻拦，带病走出医院，投入到抗洪救灾工作中去。,unchanged,unchanged,unchanged,unchanged,当时，许峰正住院治疗，听说有险情，他带病走出医院，不顾医生的劝阻，投入到抗洪救灾工作中去。,unchanged
31,31,结构混乱,这办法既卫生，又方便，深受群众所喜爱。,这办法既卫生，又方便，深受群众喜爱。,unchanged,unchanged,unchanged,这种方法既卫生，又方便，深受群众喜爱。,这种方法既卫生又方便，深受群众喜爱。,这种办法既卫生，又方便，深受群众所喜爱。
32,32,结构混乱,我们要下决心，花大力气，争取在本世纪把我国的教育事业达到先进水平。,我们要下决心，花大力气，争取在本世纪使我国的教育事业达到先进水平。,unchanged,unchanged,unchanged,我们要下决心，花大力气，争取在本世纪把我国的教育事业推向先进水平。,unchanged,我们要下大决心，花大力气，争取在本世纪把我国的教育事业达到先进水平。
33,33,结构混乱,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，供中外学者阅读之便。,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，以便中外学者阅读,其实，胡适先生英文文章也写了不少，连同这一百几十件信件，都应该收集成书，供中外学者阅读。,其实，胡适先生英文文章也写了不少，连同这一百九十件信礼，都应该收集成书，供中外学者阅读之便。,unchanged,其实，胡适先生的英文文章也写了不少，连同这一百多件信件，都应该收集成书，供中外学者阅读。,事实上，胡适先生的英文文章也写了不少，连同这一百多封信，都应该收集成书，供中外学者阅读。,其实，胡适先生英文文章也写了不少，连同这一百几十件信札，都应该收集成书，供中外学者阅读之便。
34,34,结构混乱,当然，要搞好跨学科渗透和综合，并非易事，需要下一番功夫不可。,当然，要搞好跨学科渗透和综合，并非易事，非下一番功夫不可。,当然，要搞好跨学科渗透和综合，并非易事，需要下一番功夫。,当然，要搞好跨学科渗透和综合，并非易事，需要下一番工夫不可。,当然，要搞好跨学科渗透和综合，并非易事，需要下一番工夫不可。,当然，要搞好跨学科渗透和综合，并非易事，需要下一番功夫。,当然，要搞好跨学科渗透和综合，并非易事，需要付出更多努力。,unchanged
35,35,结构混乱,这届全运会会徽、吉祥物设计的应征者大多是以青年师生为主。,这届全运会会徽、吉祥物设计的应征者以青年师生为主。,unchanged,unchanged,unchanged,这届全运会会徽和吉祥物的设计应征者大多是以青年师生为主。,这届全运会的会徽和吉祥物设计的参赛者以青年师生为主。,unchanged
36,36,中文学习者,"住了在哈尔滨,黑龙江哈尔滨,太冷!","住在哈尔滨,黑龙江哈尔滨,太冷了!","住在哈尔滨,黑龙江哈尔滨,太冷了!",unchanged,unchanged,我住在哈尔滨，黑龙江哈尔滨，很冷！,我住在哈尔滨，黑龙江省，这里非常寒冷！,"住在哈尔滨,黑龙江哈尔滨,太冷!"
37,37,中文学习者,他做梦的时候他是一个太空人了。,他做梦梦到他是一个太空人。,他做梦的时候他是一个太空人。,unchanged,她做梦的时候她是一个太空人了。,他做梦的时候，他是一个太空人。,他做梦时觉得自己是一个宇航员。,他做梦的时候他就是一个太空人了。
38,38,中文学习者,而走在回家，开始下雨！,而且我们回家的路上开始下雨了！,走在回家的路上，开始下雨！,而坐在回家，开始下雨！,unchanged,而当我们走回家时，开始下雨了！,正要回家时，突然下起了雨。,而再回家，开始下雨！
39,39,中文学习者,决定了是因为我住在美国的中部分（所以说汉语的不多啦）。,因为我住在美国的中部（所以汉语说的不多啦）。,决定了是因为我住在美国的中部（所以说汉语的不多啦）。,决定了是因为我住在美国的中部份（所以说汉语的不多啦）。,unchanged,决定是因为我住在美国的中部地区（所以汉语不是很多）。,我决定学汉语是因为我住在美国中部（所以说汉语的人不多）。,确实是因为我住在美国的中部（所以说汉语的不多）。
40,40,中文学习者,她没教我这个星期一样。,她不能像这个星期一样教我。,她这个星期没教我。,他没叫我这个星期一样。,unchanged,她本周没有教我。,这个星期她没有教我。,unchanged
41,41,中文学习者,考虑这样的信息我不知道任何年轻人可以买房子。,看到这样的信息我不知道哪些年轻人可以买房子。,考虑到这样的信息我不知道任何年轻人都可以买房子。,unchanged,unchanged,考虑到这些信息，我不知道年轻人怎么能够买房子。,考虑到这些信息，我不知道有多少年轻人能买得起房子。,考虑到这样的信息，我不知道任何年轻人可以买房子。
42,42,中文学习者,听说那是中国的《水浒传》影响很大。,听说那是受中国的《水浒传》影响很大。,听说受中国的《水浒传》影响很大。,听说那时中国的《水浒传》影响很大。,unchanged,听说中国的《水浒传》影响很大。,听说那部中国的《水浒传》影响很大。,unchanged
43,43,中文学习者,不过一日我20点左右到了桃园机场。,不过第一天我20点左右才到桃园机场。,不过第二天我20点左右到了桃园机场。,unchanged,unchanged,不过，那天我大约在晚上8点到达了桃园机场。,那天晚上大约20点左右，我到了桃园机场。,unchanged
44,44,中文学习者,可有时侯使我们感到好不有意思.,可有时侯使我们感到好不有意思。,可有时侯使我们感到好不有意思。,可有时候使我们感到好不有意思.,可有时候使我们感到好不有意思.,有时候这使我们感到很无聊。,有时候，这使我们觉得非常有趣。,unchanged
45,45,中文学习者,而且，公司的用地内有条樱树。,而且，公司的用地内有棵樱树。,而且，公司的用地内有棵樱树。,unchanged,unchanged,而且，公司用地内还有一棵樱花树。,而且，公司的院子里有一棵樱花树。,而且，公司的用地内有一条樱树。
46,46,中文学习者,并且听在中国的儿子生活样子的活是惊恐连续,并且听了在中国生活的儿子的话我是惊恐连连。,并且听在中国的儿子生活样子的话是惊恐连续,并且听在中国的儿子生活样子的话是惊恐连续,unchanged,并且听着中国儿子的生活经历令人惊恐不已。,听说在中国的儿子生活的情况令人震惊。,并且听到在中国的儿子生活样子的话是惊恐连续
47,47,中文学习者,睡了三个小时后终于才醒了，还很困，还很累。,睡了三个小时后才醒，还是很困，很累。,睡了三个小时后终于醒了，还很困，还很累。,unchanged,unchanged,睡了三个小时后，我终于醒了，但还很困，很累。,睡了三个小时后终于醒了，但仍感到困乏和疲劳。,睡了三个小时后终于醒了，很困，还很累。
48,48,中文学习者,我听懂老师讲的话，看懂内容，但是口语很差。,我听得懂老师讲的话，看得懂内容，但是口语很差。,我能听懂老师讲的话，看懂内容，但是口语很差。,unchanged,unchanged,我听懂老师讲的话，理解了内容，但口语很差。,我听得懂老师讲的话，看得懂内容，但是口语很差。,unchanged
49,49,中文学习者,当那时候，我决定应该上话语课，想有一天能用话语根我的朋友交通。,那时候，我决定应该上汉语课，希望有一天能用汉语跟我的朋友沟通。,当那时候，我决定应该上话语课，想有一天能用话语跟我的朋友交流。,当那时候，我决定应该上话语课，想有一天能用话语跟我的朋友交通。,当那时候，我决定应该上话语课，想有一天能用话语跟我的朋友交通。,当时，我决定参加口语课程，希望有一天能够用中文和我的朋友交流。,那时，我决定上口语课，希望有一天能用口语与朋友交流。,当那时候，我决定应该上华语课，想有一天能用华语跟我的朋友交流。
50,50,中文学习者,我使用书的时候（读、学习等等），用小心维持漂亮的状态，要是我早晚不需要的时候，我让给需要那本书的人我的书，把那本书再活用。,我使用书阅读、学习的时候，会小心保持它崭新的状态，如果我不需要这本书的时候，我会让给需要那本书的人用我的书，这样，这本书会被更广泛的使用。,unchanged,unchanged,unchanged,我在使用书籍时（阅读、学习等），小心地保持它们的状态，如果我不需要它们了，我会把书籍留给需要的人，并让它们继续发挥作用。,当我使用书（阅读、学习等）时，会小心保持它的良好状态；如果将来我不再需要它了，我会把书给需要的人，让他们继续利用这本书。,我使用书的时候（读书、学习等等），用心维持漂亮的状态，要是我早晚不需要的时候，我让需要那本书的人读我的书，把那本书再活用。
51,51,中文学习者,景况是非常坏，但是燃料附加运费是低廉从四月。,情况非常坏，但是燃料附加运费从四月开始变得低廉。,情况是非常坏，但是从四月开始燃料附加运费是低廉的。,情况是非常坏，但是燃料附加运费是低廉从四月。,unchanged,情况很糟糕，但燃料附加运费很便宜，从4月份开始。,虽然景况非常糟糕，但从四月开始，燃料附加运费降低了。,unchanged
52,52,中文学习者,就像李白他是酒杯的饮中八仙。,就像李白一样，他也是酒中八仙之一。,就像李白他是酒杯里的饮中八仙。,就像李白她是酒杯的饮中八仙。,就像李白她是酒杯的饮中八仙。,就像李白那样，他是饮中八仙中的一员。,李白就像酒杯中的八仙之一。,就像李白他是酒杯里的饮中八仙。
53,53,中文学习者,老家从来给我的安全感会完全泯灭。,老房子一直以来给我的安全感会完全消失。,老家从来给我的安全感会完全消失。,unchanged,unchanged,我的老家从来没有给我安全感，现在完全消失了。,老家给我的安全感逐渐消失了。,老家从来带给我的安全感会完全泯灭。
54,54,中文学习者,现在她在日本和中国和台湾常常表演音乐。,现在她常常在日本和中国及中国台湾表演音乐。,现在她在日本、中国和台湾常常表演音乐。,现在他在日本和中国和台湾常常表演音乐。,现在他在日本和中国和台湾常常表演音乐。,现在，她经常在日本、中国和台湾演出音乐。,现在她在日本、中国和台湾经常举办音乐表演。,现在她在日本和中国台湾常常表演音乐。
55,55,中文学习者,好像他们考察我们的集中力。,好像他们考察我们的注意力。,好像他们在考察我们的集中力。,好像她们考察我们的集中力。,好向他们考察我们的集中力。,好像他们正在考察我们的注意力。,好像他们在测试我们的集中力。,unchanged
56,56,中文学习者,我看见了那个女学生准备关于旅行等的几个句子，这个句子没有很大的错误。,我看见那个女学生准备了几个关于旅行的句子，这些句子没有很大的错误。,我看见了那个女学生准备了几个关于旅行等的句子，这个句子没有很大的错误。,unchanged,unchanged,我看见那个女学生准备写关于旅行等话题的几句话.,我看见那个女学生准备了关于旅行的几个句子，这些句子没有太大的错误。,我看见了那个女学生准备关于旅行的几个句子，这个句子没有很大的错误。
57,57,中文学习者,而且，虽然我的日本朋友说错的声调，我可以听得懂，至少可以预测他想说什么，而中国人真不知道他说什么．很奇怪．！,而且，虽然我的日本朋友说了错的声调，但我可以听得懂，至少可以预测他想说什么，而对于中国人我真不知道他说什么，很奇怪！,而且，虽然我的日本朋友说错了声调，我可以听得懂，至少可以预测他想说什么，而中国人真不知道他说什么．很奇怪．！,unchanged,unchanged,而且，虽然我的日本朋友说错了声调，我仍然能听懂，至少能预测他想说什么，而中国人却不知道他们在说什么。这真是很奇怪！,而且，虽然我的日本朋友说错了声调，我仍然能听懂，至少能预测他想说什么，但对于说错声调的中国人，我真的不知道他们在说什么。很奇怪！,而且，虽然我的日本朋友说错的声调，我可以听得懂，至少可以预测他想说什么，而中国人真不知道他想说什么．很奇怪．！
58,58,中文学习者,虽然她正在体会严峻的考验，有时碰到很难解决的事情，可是用乐观的想法来闯出一条新路子，真令人佩服呢。,虽然她正在经历严峻的考验，有时也会碰到很难解决的事情，可是她用乐观的心态来闯出一条新路子，真令人佩服呢。,虽然她正在经历严峻的考验，有时碰到很难解决的事情，可是用乐观的想法来闯出一条新路子，真令人佩服呢。,unchanged,unchanged,虽然她正在经历艰难的考验，有时会遇到很难解决的问题，但用乐观的态度开创新路，真的很令人钦佩。,尽管她正在经历严峻的考验，有时会遇到难以解决的问题，但她总是用乐观的心态去寻找新的解决办法，这让人非常敬佩。,unchanged
59,59,中文学习者,上周五在上海歌城有了公司的圣诞&amp;忘年会。,上周五在上海歌城有公司的圣诞&忘年会。,上周五在上海歌城有公司的圣诞&amp;忘年会。,上周五在上海歌城有了公司的圣诞&amp;旺年会。,unchanged,上周五，在上海歌城举行了我们公司的圣诞和年末聚会。,上周五，我们在上海歌城举办了公司的圣诞&忘年会。,上周五在上海歌城有了公司的圣诞&amp;晚年会。
60,60,中文学习者,我开始中文课的时候，我曾经认为中国歌没什么意思的东西。,我开始上中文课的时候，我曾经认为中文歌是没什么意思的东西。,我开始上中文课的时候，我曾经认为中国歌没什么意思。,我开始中文课的时候，我曾经认为中国哥没什么意思的东西。,unchanged,我刚开始上中文课的时候，认为中国的音乐没有什么意思。,当我开始学中文时，我曾经认为中国歌曲没什么意思。,我开始上中文课的时候，我曾经认为中国没什么有意思的东西。
61,61,中文学习者,上班的时候，我看了一个燕子。,上班的时候，我看见了一只燕子。,上班的时候，我看到了一只燕子。,上班的时候，我看了一个样子。,上班的时候，我看了一个样子。,上班的时候，我看到了一只燕子。,上班的时候，我看到了一只燕子。,上班的时候，我看见了一个燕子。
62,62,中文学习者,比如说我可以介绍以下怎么用一些英语的俚语。,比如说我可以介绍一下如何使用一些英语的俚语。,比如说我可以介绍一些英语的俚语。,比如说我可以介绍一下怎么用一些英语的理语。,比如说我可以介绍一下怎么用一些英语的俚语。,比如说，我可以介绍一些英语俚语的用法。,比如说，我可以介绍一下如何使用一些英语俚语。,比如说我可以介绍一下怎么用一些英语的俚语。
